name,url,description,employee-number,enabled,partnerships,products,people,founded,segments
Healthwise,www.healthwise.org,"Healthwise is a non-profit organization focused on developing referenced, up to date and unbiased consumer health content to help people make health decisions.",,true,,,"undergrad-edu: 
last-name: Kelly Hall
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Senior Vice President of Ix Solutions
first-name: Leslie
email: 

undergrad-edu: 
last-name: Cabinaw
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Director, User Experience
first-name: Julie
email: 

undergrad-edu: 
last-name: Lanzet
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: National Director, Late Life Care Innovations
first-name: Steven
email: 

undergrad-edu: 
last-name: Brzezicki
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Senior Product Manager
first-name: Carolyn
email: 

undergrad-edu: 
last-name: Mettler
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Senior Vice President, Mission
first-name: Molly 
email: 

undergrad-edu: 
last-name: Blandford
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Marci
email: 

undergrad-edu: 
last-name: Cabinaw
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Director, User Experience
first-name: Julie
email: 

undergrad-edu: 
last-name: Kelly Hall
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Senior Vice President of Ix Solutions
first-name: Leslie
email: 

undergrad-edu: 
last-name: Kemper
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Don
email: 

undergrad-edu: 
last-name: Lanzet
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: National Director, Late Life Care Innovations
first-name: Steven
email: 

undergrad-edu: 
last-name: Kelly Hall
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Senior Vice President of Ix Solutions
first-name: Leslie
email: 

undergrad-edu: 
last-name: Cabinaw
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Director, User Experience
first-name: Julie
email: 

undergrad-edu: 
last-name: Lanzet
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: National Director, Late Life Care Innovations
first-name: Steven
email: 

undergrad-edu: 
last-name: Brzezicki
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Senior Product Manager
first-name: Carolyn
email: 

undergrad-edu: 
last-name: Mettler
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Senior Vice President, Mission
first-name: Molly 
email: 
",,"Patient/Consumer Communities, Content, Patient-provider communication, "
Telehealth Mashup (IBM),www.ibm.com,Telehealth Mashup is a pilot program developed by IBM that shows how composite applications can be used by healthcare professionals to provide more effective care by being able to tailor their “view” of a patient.  This creates a personalized “network effect” with gives health care providers a more holistic view of their patient’s well being. We believe that combining the power of social networks with telehealth and remote monitoring solutions creates a “platform” for the next revolution in personalized health care. ,,true,,,"undergrad-edu: 
last-name: Weitzel
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Senior Technical Staff Member
first-name: Mark
email: 
",,"Patient/Consumer Communities, Patient-provider communication, Content, "
I......m Too Young For This! Cancer Foundation,i2y.com,"I’m Too Young For This empowers young adults affected by cancer by reducing late detection, ending isolation, improving quality of life and providing meaningful survivorship.Uses aggregated social medial utilities to organize, mobilize and monetize an affinity market both online and offline.",,true,,,"undergrad-edu: 
last-name: Zachary
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder/CEO
first-name: Matthew
email: 
",,"Patient/Consumer Communities, Content, Clinical trials search , Self Management tools , "
BrainTalk,http:braintalkcommunities.org/forums/,BrainTalk is a non-profit corporation operating as a public charity to provide online support groups for Neurology. It......s one of the oldest and largest communities on the web.,,true,,,"undergrad-edu: 
last-name: 
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: 
email: 
",,"Patient/Consumer Communities, "
Pypeline Health,www.mypypeline.com,"Pypeline Health provides online fitness videos and training programs on demand.  Pypeline also has an online community for fitness which allows users to create their own fitness groups or find an existing one, locate a fitness trainer or workout partner.",,true,,,"undergrad-edu: 
last-name: Bogart
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: VP Marketing + Media Delivery
first-name: David
email: 
",,"Content, Wellness, Patient/Consumer Communities, "
dLife,dlife.com,"dLife is a diabetes disease management platform. dLife connects  millions of diabetes patients, consumers, and caregivers and in the process impact engagement and health outcome. dLife.com has a suite of products including its community site which has registered 28,000 users, and offers User Profile, Photo Sharing, Groups and Blogging.  Over 100 different diabetes groups have been created organically from the community proving that the web continues to be a most important tool in connecting people living with a disease with others that are just like them. ",,true,,,"undergrad-edu: 
last-name: Zegras
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Chief Operating Officer
first-name: Gregg
email: 

undergrad-edu: 
last-name: Steinberg
founder: true
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Howard
email: 
",,"Patient/Consumer Communities, Content, "
MDinfo.com,www.mdinfo.com,"MDinfo is a health portal dedicated to fostering constructive dialogue between health experts and ordinary people throughout the world.  MDinfo utilizes social media and viral marketing to organically build health brands.  The site has over 2.5 million monthly global users and over 125,000 registered members.",,true,,,"undergrad-edu: 
last-name: Bloom
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-Founder
first-name: Jeremy 
email: 
",,"Patient/Consumer Communities, Content, "
National Medical Association,www.nmanet.org,"NMA is working on a health 2.0 community targeting African Americans, the English Speaking Caribbean and English Speaking Africa",,false,,,"undergrad-edu: 
last-name: LeNoir
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: MD
first-name: Michael 
email: 
",,"Patient/Consumer Communities, Other, "
HealthCareScoop.com,www.thehealthcarescoop.com,HealthCareScoop.com enables people to share their stories and gives them the possibility to learn from other people......s medical experiences. Owned and operated by Blue Cross Blue Shield of Minnesota. Note: Companion site Healthcarefacts.com currently not in operation. ,,true,,,"undergrad-edu: 
last-name: Stump
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: MaryAnn
email: 
",,"Patient/Consumer Communities, "
CureTogether,www.curetogether.com,"CureTogether helps people anonymously track and compare health data, to better understand their bodies, make more informed treatment decisions and contribute data to research. Currently about 10,000 people have recorded and shared  data about hundreds of conditions.",2,true,,,"undergrad-edu: 
last-name: Reda
founder: true
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-founder
first-name: Daniel
email: 

undergrad-edu: 
last-name: Carmichae
founder: true
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-founder
first-name: Alexandra
email: 
",2008-01-01,"Patient/Consumer Communities, "
Discovery Health,www.discoveryhealth.com,"Discovery is a leader in communicating health information.  We are the world......s largest non-fiction media brand, combining TV, Web and on-demand video, with community forums (powered by Inspire, Inc.)",,true,,,"undergrad-edu: 
last-name: Whyte
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Chief Medical Expert
first-name: John
email: 
",,"Patient/Consumer Communities, Content, "
Daily Strength,www.dailystrength.org,"DailyStrength, one of the first Health 2.0 community sites, hosts online support groups for health and wellness. It was built to enable people facing life challenges to simply and easily communicate their progress with friends, family, supporters, and have those people respond with encouragement and help. DailyStrength was bought by ShareCare in 2009.",,true,,,,,"Patient/Consumer Communities, "
Diabetic Connect,www.diabeticconnect.com,"Diabetic Connect, owned by Alliance Health, is a social network for people with diabetes and related conditions.  Diabetic Connect enables users to start conversations, share recipes, purchase diabetic products, leave reviews of products and drugs and much more.",,true,,,"undergrad-edu: 
last-name: Tenderich
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Community Manager
first-name: Amy
email: 

undergrad-edu: 
last-name: Crowley
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Caregiver Advocate
first-name: John
email: 

undergrad-edu: 
last-name: Preset
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Patient Advocate
first-name: Gaby
email: 

undergrad-edu: 
last-name: Sloan
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Certified Diabetes Educator
first-name: Susan
email: 
",,"Patient/Consumer Communities, "
Disaboom,www.disaboom.com,"Disaboom.com provides information and resources for people with disabilities. Disaboom.com has lifestyle articles, blogs, forums, and health information provide shared knowledge about SCI, cerebral palsy, fibromyalgia, multiple sclerosis, and other disabilities. It is viewed by up to 150k unique visitors per month.",,true,,,"undergrad-edu: 
last-name: House, MD
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Chief Medical Officer 
first-name: Glen
email: 
",,"Patient/Consumer Communities, Content, "
Drgreene.com,www.drgreene.com,"Drgreene.com is a health information website by Dr. Alan Greene, MD. The website providesregular, up-to-date and accurate information on all the topics important in family health. Members of the Drgreene.com community can participate in chats, contribute to a database of articles, share their favorite baby names and offer feedback and resources on the website......s blogs.",,true,,,"undergrad-edu: 
last-name: Greene
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Alan
email: 
",,"Patient/Consumer Communities, Content, "
eHealth Forum,www.ehealthforum.com,"eHealth Forum is an online health community that attracts 2,300,000  unique monthly visitors. The site hosts 200  medical forums that generate user-based health information. The site is an interactive, 100% professionally moderated social network.",,true,,,"undergrad-edu: 
last-name: 
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: 
email: 
",,"Patient/Consumer Communities, Content, "
Everyday Health,www.everydayhealth.com,"Major consumer content site and network. Everyday Health provides consumers with health and wellness information from more than 60 condition centers and features 20 nationally-recognized specialists from leading medical institutions. Has Everyday Health flagship site, plus South beach Diet, What to Expect, Jillian Michaels, and many well known brand names in network. Increasingly has been beating WebMD in Comscore ratings.",,false,,"date-launched: 
product: 
description: 
name: Everydayhealth.com
","undergrad-edu: 
last-name: Wolin
founder: true
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Benjamin 
email: 

undergrad-edu: 
last-name: Keriakos
founder: true
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: Michael
email: 

undergrad-edu: 
last-name: Cooper
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Executive Vice President and Chief Financial Officer
first-name: Brian
email: 

undergrad-edu: 
last-name: Errico
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Senior Vice President and General Manager, Long-Term Licensed Properties
first-name: Vince
email: 

undergrad-edu: 
last-name: Farag
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Senior Vice President, New Business Development
first-name: Karim
email: 

undergrad-edu: 
last-name: Jackson
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Executive Vice President, Marketing 
first-name: Greg
email: 

undergrad-edu: 
last-name: Joseph
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Senior Vice President, Human Resources
first-name: Deborah
email: 

undergrad-edu: 
last-name: Klein
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Senior Vice President, Sales and Marketing
first-name: Laura
email: 

undergrad-edu: 
last-name: Martin
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Senior Vice President and General Manager
first-name: Marjorie L. 
email: 

undergrad-edu: 
last-name: Roberts
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Senior Vice President of Marketing
first-name: Mark
email: 

undergrad-edu: 
last-name: Shapiro
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Executive Vice President and General Counsel
first-name: Alan
email: 

undergrad-edu: 
last-name: Sheikholeslami
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Executive Vice President and Chief Product Officer
first-name: Goli
email: 

undergrad-edu: 
last-name: Wolf
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Executive Vice President, Sales
first-name: Scott
email: 
",,"Content, Patient/Consumer Communities, Self Management tools , "
FatSecret,http:www.fatsecret.com/,"FatSecret is an online diet, nutrition and weight loss community that harnesses the collective contributions of members to generate practical and motivating information so that people can make better decisions to achieve their goals. ",,true,,,"undergrad-edu: 
last-name: 
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: 
email: 
",,"Patient/Consumer Communities, Content, Wellness, "
Go Red Heart CheckUp,www.goredforwomen.org,This free American Heart Association......s Go Red For Women assessment uses values from your Google Health profile to estimate your risk of having a heart attack or dying from heart disease over the next 10 years.,,true,,,"undergrad-edu: 
last-name: 
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: 
email: 
",,"Patient/Consumer Communities, Content, Self Management tools , "
Healia,www.healia.com,Healia is a patent-pending health-optimized search engine and online health community that guides people to trusted health information and personal support so that they can make the best health decisions for themselves and their loved ones. Owned by publisher Meridth.,,false,,,"undergrad-edu: 
last-name: 
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: 
email: 
",,"Patient/Consumer Communities, Search, Provider Search, Wellness, Content, "
Healthy Circles,www.healthycircles.com,Healthy Circles is a free Personal Health Record that allows for the storage and management of health information. ,,true,,,"undergrad-edu: 
last-name: 
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: 
email: 
",,"Personal health assessments , Self Management tools , Patient/Consumer Communities, Search,  Financial management , Content, Wellness, Coaching and Advisory Services, Patient-provider communication, "
iGuard,www.iguard.org,"iGuard is a community of over 1.5 million patients who......ve recorded their drug information and comment about their experiences. iGuard provides its members with safety ,,,,, recall notices.",,true,"date: 
partnership: 
description: Verispan, LLCVerispan provides iGuard with data used to support our risk ratings and drug information. 
name: 

date: 
partnership: 
description: Microsoft® HealthVault™:Microsoft® HealthVault™ is an open platform designed to put you in control of your health information. HealthVault enables the exchange of data among different health solutions and devices-giving you easy access to and more control over your health information. 
name: 

date: 
partnership: 
description: Verispan, LLCVerispan provides iGuard with data used to support our risk ratings and drug information. 
name: 

date: 
partnership: 
description: Verispan, LLCVerispanVerispan provides a broad array of information products and services to the healthcare industry, including market research audits
name: 
",,"undergrad-edu: 
last-name: Stephenson
founder: true
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder 
first-name: Hugo
email: 

undergrad-edu: 
last-name: Cascade
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Head of Operations
first-name: Elisa
email: 

undergrad-edu: 
last-name: DolceAmore
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Director of Partner Development
first-name: Al
email: 

undergrad-edu: 
last-name: Plummer
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title:  Head of Medical Information 
first-name: Cassie
email: 

undergrad-edu: 
last-name: Gillings
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Head of Marketing
first-name: Les
email: 
",,"Patient/Consumer Communities, Self Management tools , "
Keas,www.keas.com,"Keas is a platform on which clinicians and others can write careplans for patients. No two plans are alike. Plans are constantly tuned based on their goals, health data, progress, and input. Keas has a partnership with Quest for bringing in lab results. ",,false,,,"undergrad-edu: 
last-name: Bosworth
founder: true
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO, President
first-name: Adam
email: 

undergrad-edu: 
last-name: Greene
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Chief Content Officer
first-name: Sarah
email: 

undergrad-edu: 
last-name:  Berman
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Director Medical Programs
first-name: Mark
email: 

undergrad-edu: 
last-name: Volckmann
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Business Development Manager
first-name: Lindsey
email: 

undergrad-edu: 
last-name: Kassabgi
founder: true
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: George 
email: 
",,"Patient/Consumer Communities, Search, Content, Personal health assessments , Self Management tools , Wellness, "
LIVESTRONG.COM,www.livestrong.com,"LIVESTRONG.COM is an online health, fitness and lifestyle destination built by Demand Media and the Lance Armstrong Foundation built. Through its content, interactive tools--such as the Daily Plate--and online community, LIVESTRONG.COM helps people take action to make the most of their life, their time, their body and their world.",,true,,,"undergrad-edu: 
last-name: 
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: 
email: 
",,"Patient/Consumer Communities, Content, Self Management tools , "
PatientsLikeMe,www.patientslikeme.com,"PatientsLikeMe is an online health community for patients with life-changing conditions. PatientsLikeMe creates new knowledge by charting the real-world course of disease through the shared experiences of patients with ALS, multiple sclerosis, Parkinson......s, Epilepsy, HIV/AIDS, mood disorders, and organ transplants.",,true,,,"undergrad-edu: 
last-name: Heywood
founder: true
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Chairman
first-name: Jamie
email: 

undergrad-edu: 
last-name: Heywood
founder: true
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President
first-name: Ben
email: 

undergrad-edu: 
last-name: Cole
founder: true
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Jeff
email: 

undergrad-edu: 
last-name: S. Williams III
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Chief Marketing Officer, Head of Business Development
first-name: David 
email: 

undergrad-edu: 
last-name: Wicks
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: R and D Director
first-name: Paul
email: 
",,"Patient/Consumer Communities, Self Management tools , "
Plus3 Network,www.plus3network.com,"Plus 3 Network is a mobile, GPS-enhanced social network that connects people with corporate sponsors and causes for personal fitness and charitable giving.",,true,,,"undergrad-edu: 
last-name: Sutton
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Rick
email: 
",,"Wellness, Patient/Consumer Communities, "
Second Life,www.secondlife.com,"Second Life is a free 3D virtual world where users can socialize, connect and create using free voice and text chat.  Second Life maintains a group/mailing list of people who are interested in using it for healthcare support and education.",,true,,,"undergrad-edu: 
last-name: Kreuger
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Gentle Heron
first-name: Alice
email: 
",,"Patient/Consumer Communities, "
Social Kinetics,,,,false,,,"undergrad-edu: 
last-name: Villa
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Joseph
email: 
",,"Patient/Consumer Communities, "
MyRegence.com,www.myregence.com,"MyRegence.com is a patient portal from Regence BCBS advising members on health care and lifestyle options, navigate them through the health care system and reward those who make healthier choices. ",,true,,,"undergrad-edu: 
last-name: Gifford
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Senior Medical Director
first-name: Joe
email: 
",,"Patient/Consumer Communities, Content, Self Management tools , "
TurnFirst.org,www.turnfirst.org,TurnFirst.org is site about multiple scleloris from The TurnFirst Foundation. It includes physician content and patient communities.,,true,,,"undergrad-edu: 
last-name: 
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: 
email: 
",,"Patient/Consumer Communities, Content, "
TuDiabetes,www.tudiabetes.com,"TuDiabetes.com and EsTuDiabetes.com are communities for people touched by diabetes. Both are run by the Diabetes Hands Foundation. They also have created the tracking function called TuAnalyze, and the Facebeook game HealthSeeker.",,true,,,"undergrad-edu: 
last-name: Hernandez
founder: true
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Manny 
email: 
",,"Patient/Consumer Communities, "
WebMD,http:www.webmd.com,"WebMD is one of the best known health and medical content networks on the Web. It includes WebMD for consumers, Medscape for professionals, and WebMD Health Services, which supplies consumer tools and data integration services for health plans and employers.",,true,,,"undergrad-edu: 
last-name: Gattinella
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Wayne 
email: 
",,"Patient/Consumer Communities, Professional Knowledge Exchanges, Content, Provider Search, Personal health assessments , Self Management tools , Data Utility Layer, "
WeGo,http:www.wegohealth.com,"WeGo is an online community for health activists. Health social media opinion leaders join WeGo to learn from each other, share opinions with health companies, and gain special access to experts, tools, and events.",,true,,,"undergrad-edu: 
last-name: Barrette
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Jack
email: 
",,"Patient/Consumer Communities, "
Wellsphere,www.wellsphere.com,"Wellsphere provides WellPages, which enable people to quickly and efficiently find comprehensive, personal answers and support for their specific health needs. They also offer an innovative suite of tools  to enable users to take steps to improve their health. Wellsphere was acquired by Healthcentral in 2008.",,true,,,"undergrad-edu: 
last-name: Gutman
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Ron
email: 
",,"Patient/Consumer Communities, Search, Content, Wellness, "
RateADrug.com,www.rateadrug.com,RateAdrug provides a free online source for information on prescription drugs and their side effects.,,true,,,"undergrad-edu: 
last-name: Graham
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Jennifer
email: 
",,"Patient/Consumer Communities, Provider Search, "
Ben......s Friends,www.bensfriends.org,"Patient Communities for people with extremely rare diseases. Links to other non-profit foundations and also runs its won communities on Ning. 7,000 members in 2010.",,true,,,"undergrad-edu: 
last-name: 
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Haley
email: 
",,"Patient/Consumer Communities, "
Pazienti.org,www.pazienti.org,Pazienti.org is an Italian website focusing on patient experience sharing.,,true,,,"undergrad-edu: 
last-name: Passaler
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: dr
first-name: Linnea
email: 
",,"Content, Patient/Consumer Communities, "
EURORDIS - European Rare Diseases Organisation,www.eurordis.org,EURORDIS is a non-governmental patient-driven alliance of patient organisations representing more than 423 rare diseases patient organisations in over 43 countries.EURORDIS and its US counterpart NORD have undertaken to build an international online social networking portal (online community and mailing list service for rare disease patients.  ,,true,,,"undergrad-edu: 
last-name: Costello
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Web Communications Officer
first-name: Denis
email: 
",,"Patient/Consumer Communities, Content, "
Atoute.org,www.atoute.org,Atoute.org is a French online community website for patients and medical professionals.  This volunteer site receives a million unique visitors per month and constitutes an exceptional observatory of the evolution of the doctor-patient relationship.,,true,,,"undergrad-edu: 
last-name: Dupagne
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: médecin/entrepreneur
first-name: Dominique
email: 
",,"Patient/Consumer Communities, Patient-provider communication, "
Imperative Health,www.milife.com,"Imperative Health is a online coaching system that works with your lifestyle. To change lifestyle behaviour using remote, automated systems that adapt the advice they give to individuals. The service covers physical activity, weight and nutrition. It is for people who have cardiovascular risk factors (high blood pressure, diabetes, high cholesterol) and need to take action.",,true,,,"undergrad-edu: 
last-name: Tomkins
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Chief Operating Officer
first-name: Chris 
email: 
",,"Patient/Consumer Communities, Content, Personal health assessments , Self Management tools , Wellness, Coaching and Advisory Services, "
vivu health and wellness,www.vi.vu,"www.vi.vu is a Spain-based health network offering professionals and healthcare providers a system for referencing and recommendation based on their professional profile and their activity in the network. In the network, physicians act as mediators of information. vi.vu permits any member to build his own team of professionals which provides useful information and counsel, either publicly or privately.",,true,,,"undergrad-edu: 
last-name: Parada
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: vi.vu your health network with health professionals
first-name: Ignacio
email: 
",,"Patient/Consumer Communities, Patient-provider communication, "
imedo GmbH,www.imedo.de,"imedo features include a very popular doctors rating service, treatment ratings, support group listings as well as many typical web 2.0 interaction-oriented features like personal messaging, user profiles and many more. This is a German webpage.",,true,,,"undergrad-edu: 
last-name: Angele
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Christian
email: 
",,"Patient/Consumer Communities, Search, Provider Search, Coaching and Advisory Services, Privacy and Identity, Patient-provider communication, "
Webbeteg,www.webbeteg.hu,"Webbeteg has portfolio of branded and white-labeled content portals aimed at patients, and physicians in Hungary. These include the largest patient education and health communication portal www.webbeteg.hu, its teenager version www.kamaszpanasz.hu and the physicians...... site www.drportal.hu, Clients include sanofi-aventis, Pfizer, Servier and TEVA.",,true,,,"undergrad-edu: 
last-name: Gyarmati
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder
first-name: Gabor
email: 
",,"Patient/Consumer Communities, Content, Professional Knowledge Exchanges, "
Orange Healthcare,http:www.tendance-sante.fr/,"Tendance Santé is a health and wellness site with full print, web and mobile convergence, innovative on line  ehealth care services including Iphone applications and moderated and enriched communities.",,true,,,"undergrad-edu: 
last-name: Chardot
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Health and Wellness portal Director
first-name: Francois
email: 
",,"Content, Patient/Consumer Communities, "
ACOR,,"The heart of ACOR is a large collection of cancer-related Internet mailing lists, which delivered over 1.5 million e-mail messages last week to subscribers across the globe. qqqqqqqq hdfhdfrgrey  rgefg thdh",,true,,"date-launched: 
product: 
description: dfhdh
name: ravi 
","undergrad-edu: 
last-name: 
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Ravi
email: rshakyawar@systematixtechnocrates.com
",,"Patient/Consumer Communities, "
Accidental Sisterhood,http:www.accidentalsisterhood.com,"Accidental Sisterhood are dedicated to educating women on all things Pelvic Floor Health related. They provide info on overactive bladder, incontinence and other conditions that over 34 million women deal with daily.",,true,,,,,"Patient/Consumer Communities, Content, "
Addiction Survivors ,http:www.addictionsurvivors.org,AddictionSurvivors.org is a not-for-profit organization dedicated to providing peer support communities for those with addiction disorders and their families and friends. These forums are funded in whole by individuals whose lives have been touched by addiction in one way or another.,,true,,,,,"Patient/Consumer Communities, "
ADHD News Forum,http:www.adhdnews.com,ADHDNews.com is a patient community providing help to thousands of families looking for help on ADHD,,true,,,,,"Patient/Consumer Communities, "
Ask a Patient,http:www.askapatient.com,Ask a Patient provides drug ratings and reviews on almost all prescription products.,,true,,,,,"Patient/Consumer Communities, "
Autism 151,http:www.autism151.com,"Autism 151 is a campaign to pull our community together and offer a brighter, more positive view of autism. Features videos shared by the community.",,true,,,,,"Patient/Consumer Communities, "
Body1,http:www.body1.com,"Body1 is a premier medical education and marketing company that educates targeted populations and provides interactive marketing tools for pharmaceutical, medical device manufacturers and biotechnology organizations.",,true,,,,,"Patient/Consumer Communities, "
BreastCancer.org,http:www.breastcancer.org,"Breastcancer.org is a nonprofit organization dedicated to providing the most reliable, complete, and up-to-date information about breast cancer.",,true,,,,,"Patient/Consumer Communities, "
Cancer Compass,http:www.cancercompass.com,"Cancer Compass provides a community of more than 15,000 people connected to the latest cancer news, cancer information, decision support resources, and most importantly, each other.",,true,,,,,"Patient/Consumer Communities, Content, "
Cancer Survivors Network ,http:csn.cancer.org,"As part of the American Cancer Society’s website at cancer.org Cancer Survivors Network provides discussion boards to post questions, answers, or comments about various aspects of your cancer experience such as diagnosis, treatment, relationships, or taking care of someone with cancer.",,true,,,,,"Patient/Consumer Communities, Content, "
CancerTV,http:www.cancertv.net,"CancerTV is the destination to share information and learn about cancer across the web. They encourage people to post their own original programming and share your experiences in our members’ forum. Institutions can also contribute content, such as educational videos, for broadcast to their global, connected audience.",,true,,,,,"Patient/Consumer Communities, Content, "
